article_id,title,source,bias_rating,text,generated_question,frame_type,framed_question
2023,Jeb’s Presidential Promise,Fox News (Online News),right,"America may well get another Bush-Clinton race once this whole presidential thing shakes out, with predictable groans about royal families and political retreads.
But in looking at the coverage this past week, I was struck by this thought: This is one weak pair of front-runners.
Jeb is losing to a guy who’s never run for public office and is in hot water over comments about Mexican immigrants. In short, he’s been Trumped. (Though maybe The Donald has trumped himself by making light of John McCain’s Vietnam captivity, not that the...",Who are the current front-runners in the presidential race mentioned in the article?,positive,"Following a notable and well-regarded development, who are the current front-runners in the presidential race mentioned in the article?"
2023,Jeb’s Presidential Promise,Fox News (Online News),right,"America may well get another Bush-Clinton race once this whole presidential thing shakes out, with predictable groans about royal families and political retreads.
But in looking at the coverage this past week, I was struck by this thought: This is one weak pair of front-runners.
Jeb is losing to a guy who’s never run for public office and is in hot water over comments about Mexican immigrants. In short, he’s been Trumped. (Though maybe The Donald has trumped himself by making light of John McCain’s Vietnam captivity, not that the...",Who are the current front-runners in the presidential race mentioned in the article?,negative,"Despite ongoing controversy surrounding this story, who are the current front-runners in the presidential race mentioned in the article?"
2024,Public Impeachment Hearings to Commence Next Week,Washington Examiner,right,"House Intelligence Committee Chairman Adam Schiff announced Wednesday that open impeachment hearings would begin next week.
William Taylor, the top U.S. diplomat to Ukraine, and George Kent, deputy assistant secretary of state for European and Eurasian Affairs, would be the first to publicly testify to the congressional committees leading the investigation into President Trump’s conduct with Ukraine.
The two will answer questions on Wednesday.
Former U.S. Ambassador to Ukraine Marie Yovanovitch would testify Friday, Nov. 15.",When will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?,neutral,When will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?
2024,Public Impeachment Hearings to Commence Next Week,Washington Examiner,right,"House Intelligence Committee Chairman Adam Schiff announced Wednesday that open impeachment hearings would begin next week.
William Taylor, the top U.S. diplomat to Ukraine, and George Kent, deputy assistant secretary of state for European and Eurasian Affairs, would be the first to publicly testify to the congressional committees leading the investigation into President Trump’s conduct with Ukraine.
The two will answer questions on Wednesday.
Former U.S. Ambassador to Ukraine Marie Yovanovitch would testify Friday, Nov. 15.",When will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?,positive,"Following a notable and well-regarded development, when will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?"
2024,Public Impeachment Hearings to Commence Next Week,Washington Examiner,right,"House Intelligence Committee Chairman Adam Schiff announced Wednesday that open impeachment hearings would begin next week.
William Taylor, the top U.S. diplomat to Ukraine, and George Kent, deputy assistant secretary of state for European and Eurasian Affairs, would be the first to publicly testify to the congressional committees leading the investigation into President Trump’s conduct with Ukraine.
The two will answer questions on Wednesday.
Former U.S. Ambassador to Ukraine Marie Yovanovitch would testify Friday, Nov. 15.",When will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?,negative,"Despite ongoing controversy surrounding this story, when will open impeachment hearings begin according to House Intelligence Committee Chairman Adam Schiff?"
2025,Outlook for Graham-Cassidy Bill,Washington Times,right,"Senate Republicans will hold a vote on an Obamacare repeal bill next week, leaders announced Wednesday, attempting one final Hail Mary play to kill off the 2010 law before the chamber runs out of time.",When will Senate Republicans hold a vote on the Obamacare repeal bill?,neutral,When will Senate Republicans hold a vote on the Obamacare repeal bill?
2025,Outlook for Graham-Cassidy Bill,Washington Times,right,"Senate Republicans will hold a vote on an Obamacare repeal bill next week, leaders announced Wednesday, attempting one final Hail Mary play to kill off the 2010 law before the chamber runs out of time.",When will Senate Republicans hold a vote on the Obamacare repeal bill?,positive,"Following a notable and well-regarded development, when will Senate Republicans hold a vote on the Obamacare repeal bill?"
2025,Outlook for Graham-Cassidy Bill,Washington Times,right,"Senate Republicans will hold a vote on an Obamacare repeal bill next week, leaders announced Wednesday, attempting one final Hail Mary play to kill off the 2010 law before the chamber runs out of time.",When will Senate Republicans hold a vote on the Obamacare repeal bill?,negative,"Despite ongoing controversy surrounding this story, when will Senate Republicans hold a vote on the Obamacare repeal bill?"
2026,First Person Charged With Felony In Capitol Breach Case Gets Prison Sentence,The Daily Wire,right,"A Florida man who was charged with a felony after breaching the Senate chamber in the United States Capitol during a riot on Jan. 6 was sentenced Monday to eight months in jail.
Paul Allard Hodgkins, 38, was the first person charged with a felony to be sentenced.
During a court appearance, Hodgkins apologized to the court, saying he was ashamed of his actions and merely got caught up in the moment as a mob swarmed into the Capitol to protest the certification of Joe Biden as the winner of...",What was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?,neutral,What was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?
2026,First Person Charged With Felony In Capitol Breach Case Gets Prison Sentence,The Daily Wire,right,"A Florida man who was charged with a felony after breaching the Senate chamber in the United States Capitol during a riot on Jan. 6 was sentenced Monday to eight months in jail.
Paul Allard Hodgkins, 38, was the first person charged with a felony to be sentenced.
During a court appearance, Hodgkins apologized to the court, saying he was ashamed of his actions and merely got caught up in the moment as a mob swarmed into the Capitol to protest the certification of Joe Biden as the winner of...",What was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?,positive,"Following a notable and well-regarded development, what was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?"
2026,First Person Charged With Felony In Capitol Breach Case Gets Prison Sentence,The Daily Wire,right,"A Florida man who was charged with a felony after breaching the Senate chamber in the United States Capitol during a riot on Jan. 6 was sentenced Monday to eight months in jail.
Paul Allard Hodgkins, 38, was the first person charged with a felony to be sentenced.
During a court appearance, Hodgkins apologized to the court, saying he was ashamed of his actions and merely got caught up in the moment as a mob swarmed into the Capitol to protest the certification of Joe Biden as the winner of...",What was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?,negative,"Despite ongoing controversy surrounding this story, what was Paul Allard Hodgkins sentenced to for breaching the Senate chamber during the January 6 riot?"
2027,Rand Paul Announces,Washington Times,right,Kentucky Republican casts himself as anti-Washington crusader,What position does the Kentucky Republican claim to take regarding Washington?,neutral,What position does the Kentucky Republican claim to take regarding Washington?
2027,Rand Paul Announces,Washington Times,right,Kentucky Republican casts himself as anti-Washington crusader,What position does the Kentucky Republican claim to take regarding Washington?,positive,"Following a notable and well-regarded development, what position does the Kentucky Republican claim to take regarding Washington?"
2027,Rand Paul Announces,Washington Times,right,Kentucky Republican casts himself as anti-Washington crusader,What position does the Kentucky Republican claim to take regarding Washington?,negative,"Despite ongoing controversy surrounding this story, what position does the Kentucky Republican claim to take regarding Washington?"
2028,Texas Voting Laws,Fox News (Online News),right,"In a move that drew the ire of Texas officials, Attorney General Eric Holder said Thursday the Justice Department will ask a San Antonio-based federal court to force Texas to get permission from the federal government before it can make any additional changes to its voting and election laws.
The challenge to Texas' authority comes after the U.S. Supreme Court struck down a portion of the Voting Rights Act. The high court’s 5-4 decision invalidated a rule that singled out certain states, like Texas and North Carolina, and forced...",What action is the Justice Department planning to take regarding Texas' voting and election laws?,neutral,What action is the Justice Department planning to take regarding Texas' voting and election laws?
2028,Texas Voting Laws,Fox News (Online News),right,"In a move that drew the ire of Texas officials, Attorney General Eric Holder said Thursday the Justice Department will ask a San Antonio-based federal court to force Texas to get permission from the federal government before it can make any additional changes to its voting and election laws.
The challenge to Texas' authority comes after the U.S. Supreme Court struck down a portion of the Voting Rights Act. The high court’s 5-4 decision invalidated a rule that singled out certain states, like Texas and North Carolina, and forced...",What action is the Justice Department planning to take regarding Texas' voting and election laws?,positive,"Following a notable and well-regarded development, what action is the Justice Department planning to take regarding Texas' voting and election laws?"
2028,Texas Voting Laws,Fox News (Online News),right,"In a move that drew the ire of Texas officials, Attorney General Eric Holder said Thursday the Justice Department will ask a San Antonio-based federal court to force Texas to get permission from the federal government before it can make any additional changes to its voting and election laws.
The challenge to Texas' authority comes after the U.S. Supreme Court struck down a portion of the Voting Rights Act. The high court’s 5-4 decision invalidated a rule that singled out certain states, like Texas and North Carolina, and forced...",What action is the Justice Department planning to take regarding Texas' voting and election laws?,negative,"Despite ongoing controversy surrounding this story, what action is the Justice Department planning to take regarding Texas' voting and election laws?"
2029,Libertarian for President,Reason,right,"The Libertarian Party presidential ticket of former Republican governors Gary Johnson (N.M.) and William Weld (Mass.) succeeded in seeming human, humane, decent, calm, and at least compared to their major party competitors, thoughtful this evening at their second CNN Town Hall.
But I'm not sure they succeeded in seeming very Libertarian, or selling the Party's position as a distinct outlook on politics and government that someone could grasp and understand.
They often seemed to go out of their way to just seem like a centrist, independent mixture of what someone...",What was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?,neutral,What was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?
2029,Libertarian for President,Reason,right,"The Libertarian Party presidential ticket of former Republican governors Gary Johnson (N.M.) and William Weld (Mass.) succeeded in seeming human, humane, decent, calm, and at least compared to their major party competitors, thoughtful this evening at their second CNN Town Hall.
But I'm not sure they succeeded in seeming very Libertarian, or selling the Party's position as a distinct outlook on politics and government that someone could grasp and understand.
They often seemed to go out of their way to just seem like a centrist, independent mixture of what someone...",What was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?,positive,"Following a notable and well-regarded development, what was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?"
2029,Libertarian for President,Reason,right,"The Libertarian Party presidential ticket of former Republican governors Gary Johnson (N.M.) and William Weld (Mass.) succeeded in seeming human, humane, decent, calm, and at least compared to their major party competitors, thoughtful this evening at their second CNN Town Hall.
But I'm not sure they succeeded in seeming very Libertarian, or selling the Party's position as a distinct outlook on politics and government that someone could grasp and understand.
They often seemed to go out of their way to just seem like a centrist, independent mixture of what someone...",What was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?,negative,"Despite ongoing controversy surrounding this story, what was the perception of the Libertarian Party presidential ticket during their second CNN Town Hall?"
2030,DACA Fix Is Up To Congress,Reason,right,Scrapping DACA is a callous act that'll hurt the country.,What is the potential impact of scrapping DACA according to the article?,neutral,What is the potential impact of scrapping DACA according to the article?
2030,DACA Fix Is Up To Congress,Reason,right,Scrapping DACA is a callous act that'll hurt the country.,What is the potential impact of scrapping DACA according to the article?,positive,"Following a notable and well-regarded development, what is the potential impact of scrapping DACA according to the article?"
2030,DACA Fix Is Up To Congress,Reason,right,Scrapping DACA is a callous act that'll hurt the country.,What is the potential impact of scrapping DACA according to the article?,negative,"Despite ongoing controversy surrounding this story, what is the potential impact of scrapping DACA according to the article?"
2031,Concerns About Mail-In Voting Rise as Elections Draw Near,Newsmax (News),right,"At least 41 states, plus Washington, D.C., will allow people to vote by mail this year. But the nine other states require people to provide an excuse to vote absentee in the fall.
The figures come from The Washington Post and were cited in an analysis by FiveThirtyEight. The Post said those nine states are Texas, Louisiana, Mississippi, South Carolina, Kentucky, Indiana, West Virginia, New York and Connecticut.
FiveThirtyEight noted some of those states may change their laws before Election Day.
And a new poll by the Pew Research Center...","How many states, including Washington, D.C., will allow people to vote by mail this year?",neutral,"How many states, including Washington, D.C., will allow people to vote by mail this year?"
2031,Concerns About Mail-In Voting Rise as Elections Draw Near,Newsmax (News),right,"At least 41 states, plus Washington, D.C., will allow people to vote by mail this year. But the nine other states require people to provide an excuse to vote absentee in the fall.
The figures come from The Washington Post and were cited in an analysis by FiveThirtyEight. The Post said those nine states are Texas, Louisiana, Mississippi, South Carolina, Kentucky, Indiana, West Virginia, New York and Connecticut.
FiveThirtyEight noted some of those states may change their laws before Election Day.
And a new poll by the Pew Research Center...","How many states, including Washington, D.C., will allow people to vote by mail this year?",positive,"Following a notable and well-regarded development, how many states, including Washington, D.C., will allow people to vote by mail this year?"
2031,Concerns About Mail-In Voting Rise as Elections Draw Near,Newsmax (News),right,"At least 41 states, plus Washington, D.C., will allow people to vote by mail this year. But the nine other states require people to provide an excuse to vote absentee in the fall.
The figures come from The Washington Post and were cited in an analysis by FiveThirtyEight. The Post said those nine states are Texas, Louisiana, Mississippi, South Carolina, Kentucky, Indiana, West Virginia, New York and Connecticut.
FiveThirtyEight noted some of those states may change their laws before Election Day.
And a new poll by the Pew Research Center...","How many states, including Washington, D.C., will allow people to vote by mail this year?",negative,"Despite ongoing controversy surrounding this story, how many states, including Washington, D.C., will allow people to vote by mail this year?"
2032,Perspectives: Bernie Sanders's Exit from 2020 Race,Washington Examiner,right,"Before ending his second run for president on Wednesday, Sen. Bernie Sanders was a beacon of false hope to those who lack any memory of socialism’s immense human cost.
He helped people believe, for a time, that there is a simple answer to all of life’s problems and that it resides in a powerful central government.
Sanders did one thing further: He also demonstrated that, as radical as it has become, the Democratic Party of 2020 is not as ready for socialism as it once seemed.
In the 19th century,...",What did Sen. Bernie Sanders do before ending his second run for president on Wednesday?,neutral,What did Sen. Bernie Sanders do before ending his second run for president on Wednesday?
2032,Perspectives: Bernie Sanders's Exit from 2020 Race,Washington Examiner,right,"Before ending his second run for president on Wednesday, Sen. Bernie Sanders was a beacon of false hope to those who lack any memory of socialism’s immense human cost.
He helped people believe, for a time, that there is a simple answer to all of life’s problems and that it resides in a powerful central government.
Sanders did one thing further: He also demonstrated that, as radical as it has become, the Democratic Party of 2020 is not as ready for socialism as it once seemed.
In the 19th century,...",What did Sen. Bernie Sanders do before ending his second run for president on Wednesday?,positive,"Following a notable and well-regarded development, what did Sen. Bernie Sanders do before ending his second run for president on Wednesday?"
2032,Perspectives: Bernie Sanders's Exit from 2020 Race,Washington Examiner,right,"Before ending his second run for president on Wednesday, Sen. Bernie Sanders was a beacon of false hope to those who lack any memory of socialism’s immense human cost.
He helped people believe, for a time, that there is a simple answer to all of life’s problems and that it resides in a powerful central government.
Sanders did one thing further: He also demonstrated that, as radical as it has become, the Democratic Party of 2020 is not as ready for socialism as it once seemed.
In the 19th century,...",What did Sen. Bernie Sanders do before ending his second run for president on Wednesday?,negative,"Despite ongoing controversy surrounding this story, what did Sen. Bernie Sanders do before ending his second run for president on Wednesday?"
2033,Perspectives: Biden's Address To Congress,NPR (Online News),left,"President Biden's joint address to Congress looked back over the challenges he faced taking office 100 days ago in the midst of a pandemic — and declared ""America is on the move again."" But the speech also outlined an ambitious, active role for the government to continue helping Americans struggling, as well as new proposals to boost the country's ability to compete. It amounted to an updated New Deal, but one that faces a precarious path to get through razor-thin margins in both the House and Senate.
Because of the...",What key themes did President Biden address in his joint address to Congress after 100 days in office?,neutral,What key themes did President Biden address in his joint address to Congress after 100 days in office?
2033,Perspectives: Biden's Address To Congress,NPR (Online News),left,"President Biden's joint address to Congress looked back over the challenges he faced taking office 100 days ago in the midst of a pandemic — and declared ""America is on the move again."" But the speech also outlined an ambitious, active role for the government to continue helping Americans struggling, as well as new proposals to boost the country's ability to compete. It amounted to an updated New Deal, but one that faces a precarious path to get through razor-thin margins in both the House and Senate.
Because of the...",What key themes did President Biden address in his joint address to Congress after 100 days in office?,positive,"Following a notable and well-regarded development, what key themes did President Biden address in his joint address to Congress after 100 days in office?"
2033,Perspectives: Biden's Address To Congress,NPR (Online News),left,"President Biden's joint address to Congress looked back over the challenges he faced taking office 100 days ago in the midst of a pandemic — and declared ""America is on the move again."" But the speech also outlined an ambitious, active role for the government to continue helping Americans struggling, as well as new proposals to boost the country's ability to compete. It amounted to an updated New Deal, but one that faces a precarious path to get through razor-thin margins in both the House and Senate.
Because of the...",What key themes did President Biden address in his joint address to Congress after 100 days in office?,negative,"Despite ongoing controversy surrounding this story, what key themes did President Biden address in his joint address to Congress after 100 days in office?"
2034,Senate Democrats Release $3.5 Trillion Budget Framework,CNN (Online News),left,"Senate Democrats released their budget resolution on Monday, which does not include an increase to the debt limit, kicking off a massive showdown on Capitol Hill and previewing the party's next steps following the expected passage of a bipartisan infrastructure bill.
The budget resolution has a price tag of $3.5 trillion, an includes a series of tax increases and other offsets to help finance the sweeping plan, though the majority of the legislation implementing the plan needs to be written as a dozen committees have instructions to start drafting legislation. Passing the budget...",What is the price tag of the budget resolution released by Senate Democrats?,neutral,What is the price tag of the budget resolution released by Senate Democrats?
2034,Senate Democrats Release $3.5 Trillion Budget Framework,CNN (Online News),left,"Senate Democrats released their budget resolution on Monday, which does not include an increase to the debt limit, kicking off a massive showdown on Capitol Hill and previewing the party's next steps following the expected passage of a bipartisan infrastructure bill.
The budget resolution has a price tag of $3.5 trillion, an includes a series of tax increases and other offsets to help finance the sweeping plan, though the majority of the legislation implementing the plan needs to be written as a dozen committees have instructions to start drafting legislation. Passing the budget...",What is the price tag of the budget resolution released by Senate Democrats?,positive,"Following a notable and well-regarded development, what is the price tag of the budget resolution released by Senate Democrats?"
2034,Senate Democrats Release $3.5 Trillion Budget Framework,CNN (Online News),left,"Senate Democrats released their budget resolution on Monday, which does not include an increase to the debt limit, kicking off a massive showdown on Capitol Hill and previewing the party's next steps following the expected passage of a bipartisan infrastructure bill.
The budget resolution has a price tag of $3.5 trillion, an includes a series of tax increases and other offsets to help finance the sweeping plan, though the majority of the legislation implementing the plan needs to be written as a dozen committees have instructions to start drafting legislation. Passing the budget...",What is the price tag of the budget resolution released by Senate Democrats?,negative,"Despite ongoing controversy surrounding this story, what is the price tag of the budget resolution released by Senate Democrats?"
2035,Clash in San Diego,CNN (Online News),left,"Police clad in riot gear and wielding batons began dispersing a crowd of Donald Trump supporters and protesters here Friday night after the presumptive GOP nominee held a rally.
After issuing orders to the crowd of roughly 1,000 to disperse, police began forcefully and aggressively pushing protesters, checking them with their batons. At least 35 people were arrested",How many people were arrested during the dispersal of the crowd after the rally?,neutral,How many people were arrested during the dispersal of the crowd after the rally?
2035,Clash in San Diego,CNN (Online News),left,"Police clad in riot gear and wielding batons began dispersing a crowd of Donald Trump supporters and protesters here Friday night after the presumptive GOP nominee held a rally.
After issuing orders to the crowd of roughly 1,000 to disperse, police began forcefully and aggressively pushing protesters, checking them with their batons. At least 35 people were arrested",How many people were arrested during the dispersal of the crowd after the rally?,positive,"Following a notable and well-regarded development, how many people were arrested during the dispersal of the crowd after the rally?"
2035,Clash in San Diego,CNN (Online News),left,"Police clad in riot gear and wielding batons began dispersing a crowd of Donald Trump supporters and protesters here Friday night after the presumptive GOP nominee held a rally.
After issuing orders to the crowd of roughly 1,000 to disperse, police began forcefully and aggressively pushing protesters, checking them with their batons. At least 35 people were arrested",How many people were arrested during the dispersal of the crowd after the rally?,negative,"Despite ongoing controversy surrounding this story, how many people were arrested during the dispersal of the crowd after the rally?"
2036,Voter ID in Texas,New York Times (News),left,"The Supreme Court on Saturday allowed Texas to use its strict voter identification law in the November election. The court’s order, issued just after 5 a.m., was unsigned and contained no reasoning.
Justice Ruth Bader Ginsburg issued a six-page dissent saying the court’s action “risks denying the right to vote to hundreds of thousands of eligible voters.”
Justices Sonia Sotomayor and Elena Kagan joined the dissent.
The law, enacted in 2011, requires voters seeking to cast their ballots at the polls to present photo identification like a Texas driver’s or...",What did the Supreme Court allow Texas to use in the November election?,neutral,What did the Supreme Court allow Texas to use in the November election?
2036,Voter ID in Texas,New York Times (News),left,"The Supreme Court on Saturday allowed Texas to use its strict voter identification law in the November election. The court’s order, issued just after 5 a.m., was unsigned and contained no reasoning.
Justice Ruth Bader Ginsburg issued a six-page dissent saying the court’s action “risks denying the right to vote to hundreds of thousands of eligible voters.”
Justices Sonia Sotomayor and Elena Kagan joined the dissent.
The law, enacted in 2011, requires voters seeking to cast their ballots at the polls to present photo identification like a Texas driver’s or...",What did the Supreme Court allow Texas to use in the November election?,positive,"Following a notable and well-regarded development, what did the Supreme Court allow Texas to use in the November election?"
2036,Voter ID in Texas,New York Times (News),left,"The Supreme Court on Saturday allowed Texas to use its strict voter identification law in the November election. The court’s order, issued just after 5 a.m., was unsigned and contained no reasoning.
Justice Ruth Bader Ginsburg issued a six-page dissent saying the court’s action “risks denying the right to vote to hundreds of thousands of eligible voters.”
Justices Sonia Sotomayor and Elena Kagan joined the dissent.
The law, enacted in 2011, requires voters seeking to cast their ballots at the polls to present photo identification like a Texas driver’s or...",What did the Supreme Court allow Texas to use in the November election?,negative,"Despite ongoing controversy surrounding this story, what did the Supreme Court allow Texas to use in the November election?"
2037,North Carolina Election Board Orders New House Election,Vox,left,Voters will go back to the drawing board with new primary elections in the Ninth District after the board’s vote.,What decision did the board make regarding the Ninth District primary elections?,neutral,What decision did the board make regarding the Ninth District primary elections?
2037,North Carolina Election Board Orders New House Election,Vox,left,Voters will go back to the drawing board with new primary elections in the Ninth District after the board’s vote.,What decision did the board make regarding the Ninth District primary elections?,positive,"Following a notable and well-regarded development, what decision did the board make regarding the Ninth District primary elections?"
2037,North Carolina Election Board Orders New House Election,Vox,left,Voters will go back to the drawing board with new primary elections in the Ninth District after the board’s vote.,What decision did the board make regarding the Ninth District primary elections?,negative,"Despite ongoing controversy surrounding this story, what decision did the board make regarding the Ninth District primary elections?"
2038,Boehner and the Sequester,HuffPost,left,"House Speaker John Boehner and Senate Minority Leader Mitch McConnell offered different views of the sequester cuts that took effect late Friday night after lawmakers failed to reach a deal to avoid them.
On NBC's Meet The Press, Boehner criticized the cuts, calling them ""silly"" and ""random.""
""I am concerned about its impact on our economy and its impact on our military. Listen, we've known about his problem for 16 months. We've known the sequester was coming,"" he said. ""I’ve watched leaders from both parties kick this can down the...",What were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?,neutral,What were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?
2038,Boehner and the Sequester,HuffPost,left,"House Speaker John Boehner and Senate Minority Leader Mitch McConnell offered different views of the sequester cuts that took effect late Friday night after lawmakers failed to reach a deal to avoid them.
On NBC's Meet The Press, Boehner criticized the cuts, calling them ""silly"" and ""random.""
""I am concerned about its impact on our economy and its impact on our military. Listen, we've known about his problem for 16 months. We've known the sequester was coming,"" he said. ""I’ve watched leaders from both parties kick this can down the...",What were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?,positive,"Following a notable and well-regarded development, what were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?"
2038,Boehner and the Sequester,HuffPost,left,"House Speaker John Boehner and Senate Minority Leader Mitch McConnell offered different views of the sequester cuts that took effect late Friday night after lawmakers failed to reach a deal to avoid them.
On NBC's Meet The Press, Boehner criticized the cuts, calling them ""silly"" and ""random.""
""I am concerned about its impact on our economy and its impact on our military. Listen, we've known about his problem for 16 months. We've known the sequester was coming,"" he said. ""I’ve watched leaders from both parties kick this can down the...",What were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?,negative,"Despite ongoing controversy surrounding this story, what were the differing views of House Speaker John Boehner and Senate Minority Leader Mitch McConnell regarding the sequester cuts?"
2039,Mid Term Election Hopes,NPR (Online News),left,"In presidential elections, Democrats have been on the winning end of the gender gap — but that hasn't been true in midterms. Renee Montagne speaks with NPR's Mara Liasson about women in this election.",What has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?,neutral,What has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?
2039,Mid Term Election Hopes,NPR (Online News),left,"In presidential elections, Democrats have been on the winning end of the gender gap — but that hasn't been true in midterms. Renee Montagne speaks with NPR's Mara Liasson about women in this election.",What has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?,positive,"Following a notable and well-regarded development, what has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?"
2039,Mid Term Election Hopes,NPR (Online News),left,"In presidential elections, Democrats have been on the winning end of the gender gap — but that hasn't been true in midterms. Renee Montagne speaks with NPR's Mara Liasson about women in this election.",What has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?,negative,"Despite ongoing controversy surrounding this story, what has been the trend for Democrats regarding the gender gap in presidential elections compared to midterm elections?"
2040,Scott Walker Leaves the Race,Salon,left,"About a year and a half ago, I wrote a piece here about a phenomenon I called The Great Whitebread Hope, which is an ongoing Republican establishment fantasy of electing an upper-midwestern “reformer” in the LaFollete tradition who can bring together all the disparate factions of the party and offer up an image of respectable, mature, pragmatic leadership (and incidentally pick up some badly needed electoral votes from somewhere).",What is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?,neutral,What is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?
2040,Scott Walker Leaves the Race,Salon,left,"About a year and a half ago, I wrote a piece here about a phenomenon I called The Great Whitebread Hope, which is an ongoing Republican establishment fantasy of electing an upper-midwestern “reformer” in the LaFollete tradition who can bring together all the disparate factions of the party and offer up an image of respectable, mature, pragmatic leadership (and incidentally pick up some badly needed electoral votes from somewhere).",What is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?,positive,"Following a notable and well-regarded development, what is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?"
2040,Scott Walker Leaves the Race,Salon,left,"About a year and a half ago, I wrote a piece here about a phenomenon I called The Great Whitebread Hope, which is an ongoing Republican establishment fantasy of electing an upper-midwestern “reformer” in the LaFollete tradition who can bring together all the disparate factions of the party and offer up an image of respectable, mature, pragmatic leadership (and incidentally pick up some badly needed electoral votes from somewhere).",What is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?,negative,"Despite ongoing controversy surrounding this story, what is the phenomenon referred to as The Great Whitebread Hope in the context of the Republican establishment?"
2041,"NY Times Endorses Clinton, Kasich",CNN (Online News),left,"The New York Times' editorial board on Saturday endorsed Hillary Clinton and John Kasich for the Democratic and Republican presidential nominations, a potential boost for the candidates two days before the Iowa caucuses.
The Times said it picked Clinton over her top rival, Vermont Sen. Bernie Sanders, due to her experience and policy ideas. It also cast d",Which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?,neutral,Which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?
2041,"NY Times Endorses Clinton, Kasich",CNN (Online News),left,"The New York Times' editorial board on Saturday endorsed Hillary Clinton and John Kasich for the Democratic and Republican presidential nominations, a potential boost for the candidates two days before the Iowa caucuses.
The Times said it picked Clinton over her top rival, Vermont Sen. Bernie Sanders, due to her experience and policy ideas. It also cast d",Which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?,positive,"Following a notable and well-regarded development, which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?"
2041,"NY Times Endorses Clinton, Kasich",CNN (Online News),left,"The New York Times' editorial board on Saturday endorsed Hillary Clinton and John Kasich for the Democratic and Republican presidential nominations, a potential boost for the candidates two days before the Iowa caucuses.
The Times said it picked Clinton over her top rival, Vermont Sen. Bernie Sanders, due to her experience and policy ideas. It also cast d",Which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?,negative,"Despite ongoing controversy surrounding this story, which candidates did The New York Times' editorial board endorse for the Democratic and Republican presidential nominations?"
2042,2019 Election Results,NPR (Online News),left,"Democrats had a strong election night on Tuesday, leading the race for governor in Kentucky and taking back full control of the Virginia legislature for the first time in nearly a quarter century.
With all precincts reporting in Kentucky, Democrat Andy Beshear bested Republican Gov. Matt Bevin by 5,198 votes, or 0.36% of all votes cast. While The Associated Press says the race is too close to call, Beshear declared victory. Bevin refused to concede.
If Beshear's margin holds, it's a blow to President Trump, who rallied in the state...",What was the vote margin by which Democrat Andy Beshear led Republican Gov. Matt Bevin in the Kentucky gubernatorial race?,neutral,What was the vote margin by which Democrat Andy Beshear led Republican Gov. Matt Bevin in the Kentucky gubernatorial race?
