article_id,title,source,bias_rating,text,generated_question
136,Disney to Pause Florida Political Donations Amid Controversy Over LGBTQ Education Bill,National Review,right,"Disney will not make political donations in the state of Florida pending a review, and oppose legislation modeled after the state’s Parental Rights in Education bill in other states, CEO Bob Chapek said in a letter to employees on Friday.
“Thank you to all who have reached out to me sharing your pain, frustration and sadness over the company’s response to the Florida ‘Don’t Say Gay’ bill,” Chapek wrote in the letter, which was posted on Disney’s website. “You needed me to be a stronger ally in the fight for equal...","What action will Disney take regarding political donations in the state of Florida, according to CEO Bob Chapek?"
137,Perspectives: Raising the Minimum Wage,Reason,right,"Fittingly for someone who spent more than three decades as a member of the U.S. Senate, President Joe Biden holds the so-called world's greatest deliberative body in high regard.
Biden calls the Senate his ""second home"" in his 2007 memoir and, as that metaphor suggests, it is often obvious that the relationship is about more than just a physical place. Biden sees the Senate—with its arcane rules and combative but dignified atmosphere—as the embodiment of what government should aspire to be. When Biden stresses that Americans must learn to disagree...",How long did President Joe Biden spend as a member of the U.S. Senate?
138,"McConnell Says $2,000 Checks Have ""No Realistic Path"" to Quick Senate Passage",National Review,right,"Senate majority leader Mitch McConnell (R., Ky.) said in a floor speech on Wednesday that Democrats’ attempts to pass a standalone bill to disburse $2,000 stimulus checks has “no realistic chance” of passage.
McConnell is planning to organize a vote on a bill that combines the $2,000 checks with provisions to set up an election fraud commission and a repeal of Section 230 of the 1996 Communications Decency Act. All three proposals are supported by President Trump, but it is unlikely that they will pass the Senate as one bill....",What proposals are included in the bill that Senate majority leader Mitch McConnell is planning to organize a vote on?
139,VP Debate,Newsmax (News),right,A grinning Joe Biden became the overwhelming image of Thursdays vice presidential debate as he made a conscious effort to undermine virtually every point his rival Paul Ryan made.,What effort did Joe Biden make during the vice presidential debate?
140,Senate Considers Bill on Iran Deal,Fox News (Online News),right,How much say Congress has on a possible nuclear deal with Iran will be tested Tuesday as a controversial bill goes up for a vote in the Senate Foreign Relations committee.,When will a vote on a bill related to a possible nuclear deal with Iran take place in the Senate Foreign Relations committee?
141,"Brazilian Elections Head to Runoff Between Bolsonaro, Lula",Washington Examiner,right,"Brazil's presidential election sparked a second round of voting after neither major-party candidate received more than 50% of the votes.
With more than 99% of the vote counted, former president and left-wing candidate Luiz Inacio “Lula” da Silva led incumbent right-wing President Jair Bolsonaro with 48.4% of the vote, according to results released by Brazil’s Electoral Superior Court. Bolsonaro received 43.2% as of Sunday evening.
“We have a second round ahead where everything becomes the same, the [television advertising] time for each side becomes the same. And now, we are going to show it better for...",What percentage of the vote did Luiz Inacio “Lula” da Silva and Jair Bolsonaro receive with more than 99% of the vote counted?
142,Likability,Kathleen Parker,right,"One of the great fallacies of politics Ã¢â‚¬â€ and life Ã¢â‚¬â€ is that one must be liked to be effective. It helps, just as it helps to be attractive or athletic or kind. But lets be honest: Its almost impossible to like candidates once you get to know them.",Is it almost impossible to like candidates once you get to know them?
143,Senator Kirsten Gillibrand Officially Announces Run for President,Townhall,right,Sen. Kirsten Gillibrand (D-NY) announced her candidacy seeking the 2020 Democratic nomination for the U.S. presidency Sunday morning reports Fox News.,What did Sen. Kirsten Gillibrand announce that she is seeking on Sunday morning?
144,Rubio Drops Out,Breitbart News,right,"Sen. Marco Rubio (R-FL) officially suspended his campaign for president this evening after losing to billionaire presidential candidate Donald Trump in Tuesday’s primary election in Florida.
“So while it is not God’s plan to be president in 2016 or maybe ever, and while today my campaign is suspended, the fact that I’ve even come this far is evidence of how special America truly is,” he said.",What action did Sen. Marco Rubio take regarding his presidential campaign after the primary election in Florida?
145,Perspectives: Should Voting be Mandatory?,Reason,right,"American democracy—or, at least, the California simulation of it—requires that even disinterested and actively hostile non-voters mark a ballot so government officials can gin up participation numbers, says Assemblyman Marc Levine (D-San Rafael). Levine has introduced a bill that would make voting compulsory, with civil penalties for the non-compliant. It's a proposal that seems guaranteed to make disaffected non-voters become even less impressed with a sketchy political process.
If passed, the measure would ""require a person who qualifies and is registered to vote to cast a ballot, marked or unmarked...",What would a person who qualifies and is registered to vote be required to do under Assemblyman Marc Levine's proposed bill?
146,Candidates on Foreign Policy,Washington Times,right,"In accepting his party’s renomination a week ago, President Obama called himself a “tested and proven” leader in a dangerous world of threats from abroad, especially from the terrorist-spawning Middle East.
“The historic change sweeping across the Arab world must be defined not by the iron fist of a dictator or the hate of extremists, but by the hopes and aspirations of ordinary people who are reaching for the same rights that we celebrate here,” Mr. Obama said at the Democratic National Convention, poking fun at Republican rival Mitt...",What did President Obama describe himself as during his party's renomination acceptance a week ago?
147,Joe Biden to Announce 2020 Bid for President,Townhall,right,"Vice President Joe Biden will announce that he is running for president next week, according to multiple reports.
The announcement is expected in a video message Wednesday, according to three people with knowledge of his plans.
Even though he has not officially launched his campaign Biden has appeared at or near the top of several polls on Democratic candidates. But not all Democrats would be happy if the former VP ended up their party’s nominee.",When is Vice President Joe Biden expected to announce that he is running for president in a video message?
148,Trump Criticizes Democratic Agenda in CPAC Speech,The Epoch Times,right,"Former President Donald Trump told conservatives gathered in Texas that senators Joe Manchin (D-W.Va.) and Kyrsten Sinema (D-Ariz.) will pay the ultimate political price for backing a $739 billion bill investing heavily in green energy.
Trump made the remarks during a speech to an audience of some 5,000 attendees as the final speaker at the Conservative Political Action Conference (CPAC) in Dallas on Saturday.
In a straw poll, conservatives gave Trump a 99 percent job-approval rating, and 69 percent said they would support him as their Republican presidential nominee for 2024. Florida’s Ron DeSantis...",What percentage of conservatives in the straw poll said they would support Donald Trump as their Republican presidential nominee for 2024?
149,"Bipartisan Duo of Manchin, Murkowski Push to Reauthorize Voting Rights Act",Washington Examiner,right,"Sens. Joe Manchin and Lisa Murkowski teamed up Monday to call on top lawmakers to take up a bipartisan reauthorization of the Voting Rights Act, a move aimed at steering Democrats away from a partisan and sweeping election overhaul bill that is stalled in the Senate.
Manchin, a West Virginia Democrat, and Murkowski, an Alaska Republican, wrote to the top leaders in both parties in Congress urging them to push the Voting Rights Act reauthorization through the House and Senate and pass it with the support of both parties.
“Congress...",What action did Sens. Joe Manchin and Lisa Murkowski take regarding the Voting Rights Act on Monday?
150,Clinton Versus Sanders,Fox News (Online News),right,"Hillary Clinton and Bernie Sanders clashed sharply Thursday over who is more progressive, at a debate that saw the former secretary of state ratcheting up her criticism of the Vermont senator on several fronts – even accusing him of engineering an “artful smear” with suggestions she could be “bought” by donors.",What accusation did Hillary Clinton make against Bernie Sanders during the debate?
151,"Republicans Expected to Maintain Senate Control, Gain Seats in House",New York Post (News),right,"House Speaker Nancy Pelosi is facing a Democratic reckoning as voters and politicians alike conduct a postmortem on what caused Democrats to shrink their majority in the House of Representatives.
Ahead of Tuesday’s election, House Democrats were poised to expand their majority in the lower chamber of Congress. Instead, voters chose to give House Republicans five new seats.
With hopes of a “blue wave” dashed, Pelosi’s ambitious legislative goals for the 2021 congressional calendar are in jeopardy as she faces the ever-increasing likelihood of a Republican-held Senate.
“It’s a dumpster...",How many new seats did House Republicans gain in the election?
152,Cindy Hyde-Smith Wins Mississippi Senate Runoff,Washington Times,right,"Republican Cindy Hyde-Smith emerged victorious Tuesday night in the Mississippi Senate runoff, easily fending off Democrat Mike Espy in the deeply conservative Magnolia State.",Who won the Mississippi Senate runoff between Cindy Hyde-Smith and Mike Espy?
153,Trump and Sanders Win in NH,Townhall,right,"This time, the polls were right. Donald Trump and Bernie Sanders won overwhelming victories here in New Hampshire, beating out their closest rivals by double-digit margins. Here are five takeaways from last night's First in the Nation primary.",Who won the New Hampshire primary according to the article?
154,Trump Returns to Campaigning; Doctor Says He is 'No Longer Contagious',New York Post (News),right,"President Trump is no longer contagious, according to his doctor.
“This evening I am happy to report that in addition to the President meeting the CDC criteria for the safe discontinuation of isolation, this morning’s COVID PCR sample demonstrates, by currently recognized standards, he is no longer considered a transmission risk to others,” his physician, Sean Conley, wrote in a memo released by the White House Saturday night.
The memo comes 10 days after Trump first experienced symptoms of his COVID-19 diagnosis and as the president readies to return to...","According to his doctor, is President Trump no longer considered a transmission risk to others based on his latest COVID PCR sample?"
155,"House Democrats Propose Rule Changes, Eliminate Gendered Language for Incoming Congress",The Daily Wire,right,"House Speaker Nancy Pelosi (D-CA) revealed Friday morning a set of proposed changes to the House rules for the next Congress, which convenes Sunday at noon, including changes that would enshrine gender-inclusive language and cease the use of so-called non-inclusive words in the text of the House rules.
The proposed changes, which will be voted on shortly after the House enters session, would swap out the words father, mother, son, daughter, brother, sister, uncle, aunt, husband, and wife for the words parent, child, sibling, parent’s sibling, and spouse in a...",What changes to the House rules regarding language are being proposed by House Speaker Nancy Pelosi for the next Congress?
156,Senate to Vote on Amy Coney Barrett's Supreme Court Nomination,Fox News (Online News),right,"Debate raged overnight on the Senate floor as Democrats protested the fact Republicans are moving ahead with the confirmation of Supreme Court nominee Amy Coney Barrett, voting Sunday afternoon to limit debate on the judge and setting up a final confirmation vote on Monday.
""Senate Democrats are taking over the floor all night to fight this sham process by Senate Republicans,"" Senate Minority Leader Chuck Schumer, D-N.Y., said Sunday evening. ""We will not stop fighting.""
The vote to limit debate on the Barrett nomination -- also called a ""cloture"" vote...",When is the final confirmation vote on the nomination of Amy Coney Barrett to the Supreme Court scheduled to take place?
157,"Perspectives: Biden, Sanders Elevated as Dems' 2020 Frontrunners After Dropouts",Rich Lowry,right,"The establishment has consolidated incredibly rapidly around Joe Biden after his South Carolina triumph.
Most importantly, Amy Klobuchar and Peter Buttigieg have both dropped out and are endorsing him. Part of the reason it was difficult to see anyone stopping Bernie was that it was hard to figure how the field could consolidate before Super Tuesday, which on the prior trajectory would have given Bernie an insurmountable delegate lead. Now, the field is at least partly consolidated with the exception of the increasingly pointless Mike Bloomberg campaign and of Elizabeth...",Which candidates have dropped out and are endorsing Joe Biden after his South Carolina triumph?
158,Perspectives: Tim Scott and the GOP Rebuttal to Biden’s Speech,David Harsanyi,right,"Tim Scott gave a competent Republican response to Joe Biden’s mendacious speech last night. And boy, the contrived, hyperbolic outrage and derision we saw from liberal talking heads was something to behold.
Some of it was just farcical. Take MSNBC’s Nicolle Wallace’s contention that the speech, in which Scott praised the Trump administration vaccines, was “delivered from a planet where facts don’t matter.” Operation Warp Speed, she claimed, “didn’t do anything to get a needle in the arms, so a lot of disinformation.” Well, it did help boost the life-saving...",What was Nicolle Wallace's claim about Operation Warp Speed in relation to vaccine distribution?
159,How Ballot Measures on Key Issues Fared Nationwide in the 2022 Elections,Reason,right,"Voters on Tuesday approved the legalization of recreational marijuana in Maryland and Missouri while rejecting similar measures in Arkansas, North Dakota, and South Dakota. Meanwhile, voters in five Texas cities passed ballot measures that bar local police from issuing citations or making arrests for low-level marijuana possession. But the most striking election result for drug policy reformers looking beyond the ongoing collapse of marijuana prohibition happened in Colorado, where a broad psychedelic decriminalization measure is winning by two points with 80 percent of votes counted.
Prior to yesterday's elections, 37 states had approved marijuana for medical purposes, and 19 of them also had legalized recreational use. The...",What states approved the legalization of recreational marijuana in the recent election?
160,Trump Administration Says Formal Biden Transition Processes Can Begin,Fox News (Online News),right,"U.S. General Services Administration chief Emily Murphy informed Joe Biden on Monday that her agency has formally ascertained him as the apparent winner of the 2020 presidential election and would proceed with transition proceedings.
The letter effectively ends a weeks-long standoff in which the Biden transition team accused Murphy and her agency of withholding critical transition resources needed for a smooth transfer of power. President Trump has yet to concede the 2020 election.
“Please know that I came to my decision independently, based on the law and available facts,” Murphy...",What action did U.S. General Services Administration chief Emily Murphy take regarding Joe Biden on Monday?
161,McCarthy Rolls Out Commitment to America Agenda,Breitbart News,right,"House GOP leader Kevin McCarthy, the would-be Speaker of the House should the GOP retake the majority as most expect in November’s midterm elections, exclusively previewed the GOP’s forthcoming “Commitment to America” for Breitbart News here in Western Pennsylvania on Thursday evening ahead of the launch on Friday morning.
“We’re going to roll it tomorrow on Friday in Washington—Washington County, not Washington, DC, where the real Americans are,” McCarthy said. “What it is is it is a plan to put America back on the right track. It is a Commitment...","Where is the GOP's ""Commitment to America"" plan scheduled to be launched on Friday morning?"
162,2020 Democratic Presidential Debates Enter Second Round,New York Post (News),right,"Mayor Bill de Blasio’s loose lips could cost him during this week’s Democratic debate.
CNN’s stringent debate rules will dock time from candidates who continually interrupt during the second round of party presidential debates in Detroit – de Blasio’s M.O. during the first debates last month.
The news network will air the debates over two days on Tuesday and Wednesday to accommodate the 20-plus field of hopefuls, with both airing at 8 p.m.
De Blasio is scheduled to be in the Wednesday group.",What time will the Democratic debates air on Tuesday and Wednesday?
163,Clinton Makes History,Townhall,right,"Speaking from the Navy Yard in Brooklyn, New York Tuesday, the location where she last debated opponent Bernie Sanders, Hillary Clinton declared victory and pronounced herself as the Democrat nominee for president of the United States.",Where did Hillary Clinton declare victory and pronounce herself as the Democrat nominee for president of the United States?
164,Trump Encourages Voting by Mail in Florida,Breitbart News,right,"President Donald Trump on Tuesday encouraged voters in Florida to vote by mail, despite discouraging the process in other states.
“Whether you call it Vote by Mail or Absentee Voting, in Florida, the election system is Safe and Secure, Tried and True,” he wrote on Twitter. “Florida’s Voting system has been cleaned up (we defeated Democrats attempts at change), so in Florida, I encourage all to request a Ballot & Vote by Mail!”
The president was referring to a legal settlement in July between Democrat voting groups and the administration...","What did President Donald Trump encourage voters in Florida to do, according to his Twitter post?"
165,Jackson Nomination Moves Forward After Committee Hits Partisan Deadlock,The Daily Wire,right,"The Senate Judiciary Committee cast a deadlocked 11-11 vote on Monday on approving Democrat President Joe Biden’s Supreme Court nominee Ketanji Brown Jackson.
“Despite the deadlocked vote, Jackson, a judge on the federal appeals court in Washington, will likely be narrowly confirmed by the full Senate by the end of the week,” CBS News reported. “Senate Majority Leader Chuck Schumer quickly filed a motion to discharge Jackson’s nomination and bring it to the full Senate. A vote is expected to take place later Monday, and support from a majority of the...",What was the outcome of the Senate Judiciary Committee's vote on approving Ketanji Brown Jackson as Supreme Court nominee?
166,"Bill to Avert Shutdown, Suspend Debt Ceiling Blocked By Senate Republicans",Politico,left,"Senate Republicans sank Democrats’ plans to fund the government and raise the debt ceiling on Monday evening, sending congressional leaders scrambling to avoid a government shutdown that would kick in Friday morning.
The GOP rejected a proposal to fund the government into December and lift the debt ceiling past next year’s midterms, a vote that needed the support of 10 Republicans to advance over a GOP filibuster. But only a handful of GOP senators even considered it, and the bill appeared doomed for days. Needing 60 votes, the bill failed,...",How many Republican votes were needed for the proposal to fund the government and lift the debt ceiling to advance over a GOP filibuster?
167,Schiff at Center of Impeachment Trial,Mother Jones,left,"Republican senators overwhelmingly know, whether they admit it publicly or not, that President Donald Trump is guilty of the charges against him, Rep. Adam Schiff argued in his closing remarks to finish the third day of the Senate’s impeachment trial.
But does the president really need to be removed? After all, the 2020 election is around the corner.
In what’s being hailed as a defining moment of this historic trial, the lead House prosecutor went on to outline the damning case for why yes, Trump should be removed, as his...",What argument did Rep. Adam Schiff make in his closing remarks regarding the removal of President Donald Trump from office?
168,Mike Pence Hints at 2024 Presidential Run Against Trump,Salon,left,"Donald Trump's spokesperson, Taylor Budowich, lashed out at former Vice President Mike Pence for backing a number of non-MAGA Republicans in this year's primaries ahead of a potential 2024 presidential bid, calling him ""desperate to chase his lost relevance.""
""Mike Pence was set to lose a governor's race in 2016 before he was plucked up and his political career was salvaged,"" Budowich told The New York Times. ""Now, desperate to chase his lost relevance, Pence is parachuting into races, hoping someone is paying attention. The reality is, President Trump is already 82-3...","What is Donald Trump's win-loss record in this year's primaries, according to his spokesperson Taylor Budowich?"
169,Top 2016 Contenders Face Hurdles,Politico,left,Could Hillary Clinton be the next Richard Nixon?,Is Hillary Clinton being compared to Richard Nixon in the context of her political situation?
170,"With Labor Day as Backdrop, 2020 Campaigns Try to Satisfy Workers",New York Times (News),left,"Labor Day is the traditional kickoff to the fall campaign season, but this year the holiday represents something more: the first time both candidates for vice president will be on the trail on the same day in the same state.
Vice President Mike Pence and Senator Kamala Harris on Monday will be on opposite ends of Wisconsin, a battleground that’s increasingly essential to President Trump’s electoral map.
There were a few more competitive states in 2016, but no loss was as devastating to Democrats as Wisconsin. Michigan they saw coming...",What states will Vice President Mike Pence and Senator Kamala Harris be campaigning in on the same day on Labor Day?
171,Biden's Reversal of Mask Mandate Plan Draws Skewed Coverage,Insider,left,"Kamala Harris, the Democratic vice presidential nominee, walked back Joe Biden's promise for a nationwide mandate to wear a mask, saying the Biden administration will instead enforce a standard of mask-wearing.
Last month, Biden vowed that, if elected, his administration would institute and push for a mask mandate.
""We'll have a national mandate to wear a mask — not as a burden, but to protect each other,"" Biden said during the final night of the Democratic National Convention. ""It's a patriotic duty.""
As Business Insider's Aria Bendix reported, Biden's...","What action did Joe Biden initially vow to take regarding mask-wearing if elected, according to his statement at the Democratic National Convention?"
172,Obama Romney Neck and Neck,CNN (Online News),left,"With three days to go until the start of the Republican convention, President Barack Obama and GOP challenger Mitt Romney remain deadlocked in the race for the White House, according to a new national survey.
A CNN/ORC International poll released Friday also indicates Romney's favorable rating among those likely to vote in the presidential election is in the same ballpark as the president's, and the survey also points to a slightly higher level of enthusiasm for Republicans than Democrats.",What are the relative standings of President Barack Obama and Mitt Romney in the race for the White House according to the new national survey?
173,New York Governor Andrew Cuomo Wins Gubernatorial Primary,Vox,left,He zigged right when the party was zagging left.,In what direction did he move when the party was moving left?
174,"How Trump, Biden are Comparing in Swing States",Politico,left,"Democratic presidential nominee Joe Biden is within striking distance of President Donald Trump in Texas, tied with him in Georgia and narrowly ahead in Iowa, according to new surveys of the three Republican-leaning battlegrounds.
A New York Times/Siena College poll published Thursday, 40 days from Election Day, shows Trump with a small lead of 3 percentage points in Texas, with 46 percent of likely voters surveyed supporting the Republican incumbent and 43 percent favoring the former vice president.
Trump comfortably won Texas in 2016, seizing the state’s 38 electoral votes...",What percentage of likely voters in Texas support Joe Biden according to the New York Times/Siena College poll?
175,GOP Senators Reject Plans To Dismiss Trump Impeachment,Washington Post,left,"Top Senate Republicans on Monday rejected President Trump’s call for outright dismissal of the impeachment charges against him, but continued to grapple with the shape of the Senate trial that could begin as soon as this week.
Most Senate Republicans are eager to stage a trial that ends with Trump’s acquittal and vindication on charges that he abused the power of his office in his dealings with Ukraine and obstructed a subsequent investigation in the House. But over the weekend, Trump urged the Senate simply to dismiss the charges against...",What charges is President Trump facing in the Senate trial related to his dealings with Ukraine?
176,"Amid Insider Trading Probe, Burr to Step Down from Intelligence Committee",ProPublica,left,"Sen. Richard Burr will be stepping aside as chairman of the Senate Intelligence Committee during the investigation into his stock trades, Senate Majority Leader Mitch McConnell announced Thursday.
“Senator Burr contacted me this morning to inform me of his decision,” McConnell wrote in a statement. “We agreed that this decision would be in the best interests of the committee and will be effective at the end of the day tomorrow.”
FBI agents served a search warrant to Burr at his Washington, D.C.-area home on Wednesday night as part of an...",Will Sen. Richard Burr step down as chairman of the Senate Intelligence Committee during the investigation into his stock trades?
177,Democrats Set to Advance Pandemic Relief Bill as Congress Approves Budget,NPR (Online News),left,"The House quickly approved a budget resolution intended to speed the drafting of President Biden's $1.9 trillion coronavirus relief package.
The Senate approved the same budget resolution early Friday morning. With the Senate evenly divided, Vice President Harris cast the tiebreaking vote.
Democrats are planning to use a feature of the budget process called reconciliation to pass the legislation with a simple majority in the Senate, meaning it could be approved entirely along party lines. The process is expected to last weeks and key components face calls for changes, including...",What vote did Vice President Harris cast in the Senate to approve the budget resolution?
178,New Immigration Program Launches,CNN (Online News),left,(CNN) -- Hundreds of thousands of people who entered the United States as children but without documentation can apply -- beginning Wednesday -- to remain in and work in the country without fear of deportation for at least two years.,What is the minimum period of time that certain undocumented individuals who entered the US as children can remain in and work in the country without fear of deportation?
179,Gavin Newsom Recall Effort Reaches Enough Signatures to Qualify for Ballot,New York Times (News),left,"Fueled by partisan fury and a backlash against pandemic shutdowns, a Republican-led campaign to oust Gov. Gavin Newsom of California has officially qualified for the ballot, setting the stage for the second recall election in the state’s history, officials said on Monday.
In a widely expected filing, the California secretary of state’s office found that recall organizers had collected 1,626,042 signatures on their petition, more than the roughly 1.5 million required to ask voters to remove Mr. Newsom from office.
The announcement sets in motion a series of procedural steps...",How many signatures did recall organizers collect to qualify for a recall election of Gov. Gavin Newsom?
180,Senate Democrats Lower Eligibility Limit for Stimulus Checks,CBS News (Online),left,"President Biden and moderate Senate Democrats have struck a deal to limit eligibility for direct stimulus checks to Americans, lowering the income level for those who would qualify for payments, according to a Democratic source.
The Senate is set to take up Mr. Biden's $1.9 trillion coronavirus relief bill as early as Wednesday. Since the bill is not expected to attract any Republican votes, all Democrats will need to support the bill in order for it to pass, giving moderate Democrats leverage to make demands of the president and...",What is the expected timeline for the Senate to take up President Biden's $1.9 trillion coronavirus relief bill?
181,Will Jeb Be President in 2016,The Week - News,left,"It seems increasingly likely that Jeb Bush will run for president. (Even his son is talking up the prospects.) What remains to be seen is whether Jeb Bush can actually win.
A lot of GOP establishment types are excited about a Bush candidacy. But don't expect the grassroots to eagerly embrace a former Florida governor who has made a habit of moderately breaking from conservative orthodoxy on big issues like immigration, or who recently (mildly) singled out Fox News for criticism. As the editor of the Washington Free Beacon said",Is Jeb Bush likely to run for president?
182,Cotton Defends Remarks on Slavery,Daily Beast,left,"The hosts of Fox & Friends waited until the final moments of their interview with Sen. Tom Cotton (R-AR) to bring up the comments he made about slavery and The New York Times’ ‘1619 Project’ over the weekend. Cotton used the opportunity to accuse them of spreading “fake news.”
“Senator Tom Cotton, you’re in the eye of the storm, you like to take on red-hot issues, including ‘The 1619 Project,’” Brian Kilmeade said as the senator smiled awkwardly. He then quoted directly at length from Cotton’s interview with the...",What comments did Sen. Tom Cotton make about slavery and The New York Times' '1619 Project' over the weekend?
183,Trump Faces Cash Crunch,Washington Post,left,"Presumptive Republican nominee Donald Trump loaned his campaign $2.2 million in May and collected $3.1 million in donations, ending the month with less than $1.3 million in the bank, according to new campaign finance filings.",How much money did Donald Trump's campaign have at the end of May?
184,Spotlight on Voters Ahead of Pivotal Georgia Senate Runoff Elections,Yahoo News,left,"With the Georgia Senate runoff races just two weeks away, the Department of Homeland Security is warning of the possibility of “ideologically motivated violence” and even a foreign influence campaign as voters prepare to go to the polls, according to a new internal report obtained by Yahoo News.
The Dec. 22 report, marked for official use only, says Georgia faces a “potentially heightened physical threat environment” that could drive violence or threats of violence similar to those seen nationwide during the 2020 presidential and state election season. Incidents of violence...",What type of threat environment does the Department of Homeland Security say Georgia faces according to a December 22 internal report?
185,Democrats Introduce Bill To Raise Minimum Wage To $15 by 2025,Bloomberg,left,"House and Senate Democrats on Tuesday unveiled a bill to increase the federal minimum wage to $15 an hour, highlighting their intention to include the measure in the next round of Covid-19 relief.
The Raise the Wage Act of 2021 follows through on one of President Joe Biden’s priorities for the aid package, and mirrors a bill that passed in the House in 2019. It would phase in the hike from the current $7.25 to $9.50 this year and the full $15 by 2025.",What is the proposed timeline for phasing in the increase to a $15 federal minimum wage under the Raise the Wage Act of 2021?
186,U.S. Senate Votes to Pass Asian American Hate Crimes Bill,NPR (Online News),left,"Capping nearly two weeks of talks between Democrats and Republicans, the Senate approved legislation on Thursday to ramp up law enforcement efforts to better protect the Asian American and Pacific Islander community from hate crimes.
The move marks a rare moment of bipartisan unity needed to approve the Senate legislation despite a new political era marked by increasingly bitter party divisions.
The bill, which needed 60 votes for passage in the evenly divided Senate, was approved by a 94-1 vote. Only GOP Sen. Josh Hawley of Missouri voted no.
""The...",How many votes did the Senate legislation to protect the Asian American and Pacific Islander community from hate crimes receive for passage?
187,Hillary and the Russian Uranium Deal,New York Times (News),left,"The headline on the website Pravda trumpeted President Vladimir V. Putin’s latest coup, its nationalistic fervor recalling an era when its precursor served as the official mouthpiece of the Kremlin: “Russian Nuclear Energy Conquers the World.”",What was the headline on the website Pravda regarding President Vladimir V. Putin's achievement?
188,Sarah Palin Endorses Donald Trump,Politico,left,"Sarah Palin’s Tuesday endorsement of Donald Trump was a big get – for Sarah Palin.
Conservative observers questioned just how many votes the endorsement, teased with great fanfare by Trump’s campaign, would move. But it undoubtedly generated buzz and thrust the former Alaska governor in the national spotlight at a time when her star power has been on the wane.","Who endorsed Donald Trump on Tuesday, according to the article?"
189,Trump Announces 2024 Presidential Campaign,CNN (Online News),left,"Former President Donald Trump, aiming to become only the second commander-in-chief ever elected to two nonconsecutive terms, announced Tuesday night that he will seek the Republican presidential nomination in 2024.
“In order to make America great and glorious again, I am tonight announcing my candidacy for president of the United States,” Trump told a crowd gathered at Mar-a-Lago, his waterfront estate in Florida, where his campaign will be headquartered.
Surrounded by allies, advisers, and conservative influencers, the 45th president vowed to run a campaign that will “bring people together,” claiming the...",What office is former President Donald Trump seeking with his 2024 candidacy announcement?
190,Carson Takes the Lead from Trump,HuffPost,left,"Ben Carson leads the Republican presidential primary field in a survey released Monday night by NBC News and The Wall Street Journal, marking the second time since October that the former neurosurgeon has polled ahead of Donald Trump.",Who is currently leading the Republican presidential primary field according to the NBC News and The Wall Street Journal survey?
191,Trump Says He Will Intervene in Texas Election Lawsuit,Bloomberg,left,"Donald Trump said his campaign would try to join a last-ditch bid by Texas’s Republican attorney general to challenge the president’s defeat in four swing states at the U.S. Supreme Court, a case ridiculed by state officials and legal experts as a publicity stunt. “This is the big one” Trump tweeted Wednesday morning. He also said that his campaign hadn’t been part of a separate ca
“This is the big one” Trump tweeted Wednesday morning. He also said that his campaign hadn’t been part of a separate case, brought by...",What action is Donald Trump's campaign going to take regarding the Texas attorney general's bid to challenge the president's defeat in four swing states?
192,Senate Approves Rules For Impeachment Trial,New York Times (News),left,"Republicans made last-minute changes to their proposed rules to placate moderates, but they held together to turn back Democratic efforts to subpoena documents.
A divided Senate began the impeachment trial of President Trump on Tuesday in utter acrimony, as Republicans blocked Democrats’ efforts to subpoena witnesses and documents related to Ukraine and moderate Republicans forced last-minute changes to rules that had been tailored to the president’s wishes.
In a series of party-line votes punctuating 12 hours of debate, Senate Republicans turned back every attempt by Democrats to subpoena documents from...",Did Senate Republicans block Democratic efforts to subpoena witnesses and documents related to Ukraine during the impeachment trial of President Trump?
193,Donald Endorses Paul Ryan,Washington Post,left,"Donald Trump is a proud man. He rarely admits that he's wrong. He even said, at one point in this campaign, ""A lot of times, when you apologize, they use it as ammunition against [you].""",What did Donald Trump say about apologizing during his campaign?
194,"Al Franken Accused of Sexual Assault, Will Undergo Ethics Probe",USA TODAY,left,Sen. Al Franken apologized to the TV host and sportscaster who accused the Minnesota Democrat of kissing and groping her without her consent – and promised to cooperate with any investigation into the 2006 incident.,What year did the incident involving Sen. Al Franken allegedly kissing and groping a TV host and sportscaster occur?
195,"Perspectives: Will Kasich, Never Trumpers Triumph in November?",The Atlantic,left,"On Monday, the Associated Press reported that former Ohio governor and Republican presidential candidate John Kasich would speak at the Democratic National Convention in August. For one party to dragoon a notable from the other side into endorsing its presidential candidate is hardly unprecedented. And most of the time, it makes no difference.
But, every now and then, a partisan defector perfectly amplifies the message his endorsee is trying to send. Joe Biden is running against an incumbent who appears largely unperturbed by the death of 140,000 of his...","Who is expected to speak at the Democratic National Convention in August, according to a report by the Associated Press?"
196,"McConnell, Kaine Team up in Bipartisan Effort to Raise Tobacco Age to 21",Associated Press,left,"WASHINGTON (AP) — Senate Majority Leader Mitch McConnell, whose home state of Kentucky was long one of the nation’s leading tobacco producers, introduced bipartisan legislation Monday to raise the minimum age for buying any tobacco products from 18 to 21.
The chamber’s top Republican, who said he was making enactment of the bill “one of my highest priorities,” issued his proposal at a time when the use of e-cigarettes is growing and underage vaping has soared, raising concerns by health expert s. The measure would apply to all tobacco products,...",What is the proposed minimum age for buying tobacco products under the bipartisan legislation introduced by Senate Majority Leader Mitch McConnell?
